ID,start_date,incident_type,receiver_country,receiver_category,receiver_category_subcode,MITRE_impact,unweighted_cyber_intensity,target_multiplier,weighted_cyber_intensity,impact_indicator,impact_indicator_value,year,sector_cleaned,attack_type_cleaned,attacker_category_cleaned,is_eu,impact_indicator_tag,sector_tag,attack_type_tag,attacker_category_tag,cyber_intensity,total_attack_severity,impact_indicator_value_norm,unweighted_cyber_intensity_norm,weighted_cyber_intensity_norm,sector_tag_norm,attack_type_tag_norm,attacker_category_tag_norm,impact_indicator_tag_norm,total_attack_severity_norm,cyber_intensity_norm
4290,2024-12-01 00:00:00,Data theft; Hijacking with Misuse,Italy; Netherlands; United States; South Africa; United States; Thailand; United Kingdom,Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure,Telecommunications - Research - Research - Telecommunications - Telecommunications - Telecommunications - Telecommunications,Data Exfiltration; Data Manipulation,3,Moderate - high political importance,3.0,Not available,0.0,2024,Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure - Critical infrastructure,Data theft,Telecommunications - Research - Research - Telecommunications - Telecommunications - Telecommunications - Telecommunications,1,-1,0,1,0,9.0,0.0,-2.2741541820626323,0.3960810329433623,0.3839312328778571,-0.6023569253851326,-0.2697881705043288,-0.06830541603731805,-3.1466784909481236,-1.2185862248267252,0.15185647714403833
4248,2022-06-20 00:00:00,Data theft,Netherlands; Germany; Kazakhstan; Afghanistan; Georgia; Romania; United Kingdom,State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system,"Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies)",,0,,,Not available,0.0,2022,State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system,Data theft,"Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies) - Other (e.g., embassies)",1,-1,0,1,0,0.0,0.0,-2.2741541820626323,-1.841834540946539,,-0.6023569253851326,-0.2697881705043288,-0.06830541603731805,-3.1466784909481236,-1.2185862248267252,-1.0592457973627363
4220,2025-01-01 00:00:00,Data theft; Ransomware,Italy,Critical infrastructure,Food,,0,,,Not available,0.0,2025,Critical infrastructure,Data theft,Food,1,-1,9,1,0,0.0,0.0,-2.2741541820626323,-1.841834540946539,,1.6614460249633878,-0.2697881705043288,-0.06830541603731805,-3.1466784909481236,-1.2185862248267252,-1.0592457973627363
4187,2024-12-01 00:00:00,Data theft; Hijacking with Misuse; Ransomware,Germany,Critical infrastructure,Critical Manufacturing,,0,,,Not available,0.0,2024,Critical infrastructure,Data theft,Critical Manufacturing,1,-1,9,1,0,0.0,0.0,-2.2741541820626323,-1.841834540946539,,1.6614460249633878,-0.2697881705043288,-0.06830541603731805,-3.1466784909481236,-1.2185862248267252,-1.0592457973627363
4178,2024-12-31 00:00:00,Disruption; Hijacking without Misuse,France; France; France,State institutions / political system - State institutions / political system - State institutions / political system,Civil service / administration - Civil service / administration - Civil service / administration,,0,,,Not available,0.0,2024,State institutions / political system - State institutions / political system - State institutions / political system,Disruption,Civil service / administration - Civil service / administration - Civil service / administration,1,-1,0,2,0,0.0,0.0,-2.2741541820626323,-1.841834540946539,,-0.6023569253851326,1.011705639391233,-0.06830541603731805,-3.1466784909481236,-1.2185862248267252,-1.0592457973627363
4161,2024-06-01 00:00:00,Data theft; Hijacking with Misuse,Germany; United Kingdom; Europe (region),Critical infrastructure; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Critical infrastructure - Critical infrastructure; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Critical infrastructure - Critical infrastructure; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Critical infrastructure,Chemicals; ; Critical Manufacturing - Chemicals; ; Critical Manufacturing - Chemicals; ; Critical Manufacturing,Account Access Removal,3,Moderate - high political importance,3.0,Low,6.0,2024,Critical infrastructure,Data theft,Chemicals,1,1,9,1,0,9.0,6.0,-0.027064556042559473,0.3960810329433623,0.3839312328778571,1.6614460249633878,-0.2697881705043288,-0.06830541603731805,0.5593457663946073,0.23606120585648607,0.15185647714403833
4156,2024-12-08 00:00:00,Data theft; Hijacking with Misuse; Ransomware,France,Critical infrastructure,Telecommunications,Data Exfiltration,3,Moderate - high political importance,3.0,Low,7.0,2024,Critical infrastructure,Data theft,Telecommunications,1,1,9,1,0,9.0,7.0,0.3474503816274527,0.3960810329433623,0.3839312328778571,1.6614460249633878,-0.2697881705043288,-0.06830541603731805,0.5593457663946073,0.47850244430368793,0.15185647714403833
4155,2024-12-17 00:00:00,Disruption,Germany; Germany; Germany,Critical infrastructure - Critical infrastructure - Critical infrastructure; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Critical infrastructure,Energy - Defence industry - Chemicals; ; Critical Manufacturing,Network Denial of Service,1,Moderate - high political importance,1.0,Low,7.0,2024,Critical infrastructure - Critical infrastructure - Critical infrastructure,Disruption,Energy - Defence industry - Chemicals,1,1,0,2,0,1.0,7.0,0.3474503816274527,-1.0958626829832387,-1.0788809422413372,-0.6023569253851326,1.011705639391233,-0.06830541603731805,0.5593457663946073,0.47850244430368793,-0.9246788779730947
4152,2024-12-08 00:00:00,Hijacking without Misuse,Germany,Critical infrastructure; Critical infrastructure,Health; Health,Not available,1,Moderate - high political importance,1.0,Low,6.0,2024,Critical infrastructure,Hijacking without Misuse,Health,1,1,9,0,0,1.0,6.0,-0.027064556042559473,-1.0958626829832387,-1.0788809422413372,1.6614460249633878,-1.5512819803998905,-0.06830541603731805,0.5593457663946073,0.23606120585648607,-0.9246788779730947
4130,2024-07-01 00:00:00,Data theft; Hijacking with Misuse,"Germany; Saudi Arabia; Iran, Islamic Republic of; Indonesia; Philippines; Chile; Italy; Portugal; Hungary; Slovenia; Taiwan; France; United Kingdom; Vietnam; United States",Education - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Critical infrastructure - State institutions / political system - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - State institutions / political system - State institutions / political system - Critical infrastructure - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Critical infrastructure - State institutions / political system; Critical infrastructure - Critical infrastructure; Critical infrastructure - Critical infrastructure; Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition); Critical infrastructure, -  -  -  - Energy - Government / ministries -  - Government / ministries - Government / ministries - Finance -  - Telecommunications - Government / ministries; Finance - Energy; Finance - Health; ; Space,Not available,3,Moderate - high political importance,3.0,Medium,13.0,2024,Education - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Critical infrastructure - State institutions / political system - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - State institutions / political system - State institutions / political system - Critical infrastructure - Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - Critical infrastructure - State institutions / political system,Data theft,-  -  -  - Energy - Government / ministries -  - Government / ministries - Government / ministries - Finance -  - Telecommunications - Government / ministries,1,2,0,1,0,9.0,26.0,2.5945400076475256,0.3960810329433623,0.3839312328778571,-0.6023569253851326,-0.2697881705043288,-0.06830541603731805,2.4123578950659725,5.084885974800523,0.15185647714403833
